annotator,document,system,corpus,rank
10,17,prophetnet,xsum,2
10,17,bart,xsum,4
10,17,bertextabs,xsum,1
10,18,pegasus,xsum,2
10,18,prophetnet,xsum,4
10,18,bart,xsum,1
10,18,bertextabs,xsum,2
10,19,pegasus,xsum,2
10,19,prophetnet,xsum,1
10,19,bart,xsum,4
10,19,bertextabs,xsum,2
10,20,pegasus,xsum,2
10,20,prophetnet,xsum,2
10,20,bart,xsum,4
10,20,bertextabs,xsum,1
11,16,pegasus,xsum,2
11,16,prophetnet,xsum,2
11,16,bart,xsum,4
11,16,bertextabs,xsum,1
11,17,pegasus,xsum,2
11,17,prophetnet,xsum,2
11,17,bart,xsum,4
11,17,bertextabs,xsum,1
11,18,pegasus,xsum,2
11,18,prophetnet,xsum,4
11,18,bart,xsum,1
11,18,bertextabs,xsum,2
11,19,pegasus,xsum,2
11,19,prophetnet,xsum,1
11,19,bart,xsum,4
11,19,bertextabs,xsum,2
11,20,pegasus,xsum,2
11,20,prophetnet,xsum,1
11,20,bart,xsum,4
11,20,bertextabs,xsum,2
12,16,pegasus,xsum,2
12,16,prophetnet,xsum,1
12,16,bart,xsum,4
12,16,bertextabs,xsum,2
12,17,pegasus,xsum,2
12,17,prophetnet,xsum,1
12,17,bart,xsum,4
12,17,bertextabs,xsum,2
12,18,pegasus,xsum,1
12,18,prophetnet,xsum,4
12,18,bart,xsum,2
12,18,bertextabs,xsum,2
12,19,pegasus,xsum,2
12,19,prophetnet,xsum,1
12,19,bart,xsum,4
12,19,bertextabs,xsum,2
12,20,pegasus,xsum,2
12,20,prophetnet,xsum,1
12,20,bart,xsum,4
12,20,bertextabs,xsum,2
13,21,pegasus,xsum,2
13,21,prophetnet,xsum,2
13,21,bart,xsum,4
13,21,bertextabs,xsum,1
13,22,pegasus,xsum,2
13,22,prophetnet,xsum,2
13,22,bart,xsum,4
13,22,bertextabs,xsum,1
13,23,pegasus,xsum,2
13,23,prophetnet,xsum,1
13,23,bart,xsum,4
13,23,bertextabs,xsum,2
13,24,pegasus,xsum,2
13,24,prophetnet,xsum,2
13,24,bart,xsum,4
13,24,bertextabs,xsum,1
13,25,pegasus,xsum,1
13,25,prophetnet,xsum,2
13,25,bart,xsum,4
13,25,bertextabs,xsum,2
14,21,pegasus,xsum,4
14,21,prophetnet,xsum,1
14,21,bart,xsum,2
14,21,bertextabs,xsum,2
14,22,pegasus,xsum,2
14,22,prophetnet,xsum,1
14,22,bart,xsum,4
14,22,bertextabs,xsum,2
14,23,pegasus,xsum,2
14,23,prophetnet,xsum,1
14,23,bart,xsum,4
14,23,bertextabs,xsum,2
14,24,pegasus,xsum,2
14,24,prophetnet,xsum,1
14,24,bart,xsum,4
14,24,bertextabs,xsum,2
14,25,pegasus,xsum,1
14,25,prophetnet,xsum,2
14,25,bart,xsum,2
14,25,bertextabs,xsum,4
15,21,pegasus,xsum,4
15,21,prophetnet,xsum,2
15,21,bart,xsum,2
15,21,bertextabs,xsum,1
15,22,pegasus,xsum,2
15,22,prophetnet,xsum,2
15,22,bart,xsum,1
15,22,bertextabs,xsum,4
15,23,pegasus,xsum,2
15,23,prophetnet,xsum,1
15,23,bart,xsum,4
15,23,bertextabs,xsum,2
15,24,pegasus,xsum,2
15,24,prophetnet,xsum,4
15,24,bart,xsum,1
15,24,bertextabs,xsum,2
15,25,pegasus,xsum,2
15,25,prophetnet,xsum,2
15,25,bart,xsum,1
15,25,bertextabs,xsum,4
16,26,pegasus,xsum,2
