annotator,document,system,corpus,score
9,14,bart,cnndm,5
9,14,bertextabs,cnndm,8
9,15,pegasus,cnndm,8
9,15,prophetnet,cnndm,8
9,15,bart,cnndm,5
9,15,bertextabs,cnndm,7
10,16,pegasus,cnndm,7
10,16,prophetnet,cnndm,7
10,16,bart,cnndm,7
10,16,bertextabs,cnndm,6
10,17,pegasus,cnndm,7
10,17,prophetnet,cnndm,8
10,17,bart,cnndm,7
10,17,bertextabs,cnndm,7
10,18,pegasus,cnndm,7
10,18,prophetnet,cnndm,6
10,18,bart,cnndm,7
10,18,bertextabs,cnndm,7
10,19,pegasus,cnndm,6
10,19,prophetnet,cnndm,8
10,19,bart,cnndm,7
10,19,bertextabs,cnndm,8
10,20,pegasus,cnndm,4
10,20,prophetnet,cnndm,5
10,20,bart,cnndm,6
10,20,bertextabs,cnndm,5
11,16,pegasus,cnndm,7
11,16,prophetnet,cnndm,6
11,16,bart,cnndm,5
11,16,bertextabs,cnndm,8
11,17,pegasus,cnndm,7
11,17,prophetnet,cnndm,9
11,17,bart,cnndm,8
11,17,bertextabs,cnndm,6
11,18,pegasus,cnndm,7
11,18,prophetnet,cnndm,6
11,18,bart,cnndm,6
11,18,bertextabs,cnndm,8
11,19,pegasus,cnndm,5
11,19,prophetnet,cnndm,8
11,19,bart,cnndm,7
11,19,bertextabs,cnndm,6
11,20,pegasus,cnndm,7
11,20,prophetnet,cnndm,5
11,20,bart,cnndm,7
11,20,bertextabs,cnndm,8
12,16,pegasus,cnndm,10
12,16,prophetnet,cnndm,6
12,16,bart,cnndm,5
12,16,bertextabs,cnndm,6
12,17,pegasus,cnndm,10
12,17,prophetnet,cnndm,10
12,17,bart,cnndm,4
12,17,bertextabs,cnndm,7
12,18,pegasus,cnndm,7
12,18,prophetnet,cnndm,5
12,18,bart,cnndm,10
12,18,bertextabs,cnndm,8
12,19,pegasus,cnndm,5
12,19,prophetnet,cnndm,8
12,19,bart,cnndm,7
12,19,bertextabs,cnndm,5
12,20,pegasus,cnndm,6
12,20,prophetnet,cnndm,5
12,20,bart,cnndm,4
12,20,bertextabs,cnndm,9
13,21,pegasus,cnndm,6
13,21,prophetnet,cnndm,8
13,21,bart,cnndm,9
13,21,bertextabs,cnndm,4
13,22,pegasus,cnndm,5
13,22,prophetnet,cnndm,8
13,22,bart,cnndm,8
13,22,bertextabs,cnndm,4
13,23,pegasus,cnndm,2
13,23,prophetnet,cnndm,5
13,23,bart,cnndm,3
13,23,bertextabs,cnndm,8
13,24,pegasus,cnndm,7
13,24,prophetnet,cnndm,7
13,24,bart,cnndm,9
13,24,bertextabs,cnndm,5
13,25,pegasus,cnndm,7
13,25,prophetnet,cnndm,5
13,25,bart,cnndm,7
13,25,bertextabs,cnndm,10
14,21,pegasus,cnndm,7
14,21,prophetnet,cnndm,7
14,21,bart,cnndm,7
14,21,bertextabs,cnndm,8
14,22,pegasus,cnndm,3
14,22,prophetnet,cnndm,3
14,22,bart,cnndm,6
14,22,bertextabs,cnndm,2
14,23,pegasus,cnndm,6
14,23,prophetnet,cnndm,6
14,23,bart,cnndm,9
14,23,bertextabs,cnndm,8
14,24,pegasus,cnndm,9
14,24,prophetnet,cnndm,8
14,24,bart,cnndm,8
14,24,bertextabs,cnndm,7
14,25,pegasus,cnndm,9
14,25,prophetnet,cnndm,9
14,25,bart,cnndm,9
14,25,bertextabs,cnndm,9
15,21,pegasus,cnndm,10
15,21,prophetnet,cnndm,10
15,21,bart,cnndm,7
15,21,bertextabs,cnndm,10
15,22,pegasus,cnndm,10
15,22,prophetnet,cnndm,7
15,22,bart,cnndm,9
15,22,bertextabs,cnndm,2
15,23,pegasus,cnndm,5
15,23,prophetnet,cnndm,7
15,23,bart,cnndm,5
15,23,bertextabs,cnndm,8
15,24,pegasus,cnndm,9
15,24,prophetnet,cnndm,7
15,24,bart,cnndm,9
15,24,bertextabs,cnndm,6
15,25,pegasus,cnndm,7
15,25,prophetnet,cnndm,8
15,25,bart,cnndm,10
15,25,bertextabs,cnndm,9
16,26,pegasus,cnndm,4
16,26,prophetnet,cnndm,8
16,26,bart,cnndm,8
16,26,bertextabs,cnndm,7
16,27,pegasus,cnndm,6
16,27,prophetnet,cnndm,9
16,27,bart,cnndm,10
16,27,bertextabs,cnndm,8
16,28,pegasus,cnndm,10
16,28,prophetnet,cnndm,9
16,28,bart,cnndm,2
16,28,bertextabs,cnndm,7
16,29,pegasus,cnndm,9
16,29,prophetnet,cnndm,9
16,29,bart,cnndm,10
16,29,bertextabs,cnndm,10
16,30,pegasus,cnndm,8
16,30,prophetnet,cnndm,9
16,30,bart,cnndm,7
16,30,bertextabs,cnndm,7
17,26,pegasus,cnndm,5
17,26,prophetnet,cnndm,8
17,26,bart,cnndm,5
17,26,bertextabs,cnndm,9
17,27,pegasus,cnndm,3
17,27,prophetnet,cnndm,10
17,27,bart,cnndm,9
17,27,bertextabs,cnndm,7
17,28,pegasus,cnndm,8
17,28,prophetnet,cnndm,9
17,28,bart,cnndm,9
17,28,bertextabs,cnndm,9
17,29,pegasus,cnndm,5
17,29,prophetnet,cnndm,8
17,29,bart,cnndm,9
17,29,bertextabs,cnndm,9
17,30,pegasus,cnndm,10
17,30,prophetnet,cnndm,8
17,30,bart,cnndm,10
17,30,bertextabs,cnndm,8
18,26,pegasus,cnndm,3
18,26,prophetnet,cnndm,6
18,26,bart,cnndm,1
18,26,bertextabs,cnndm,5
18,27,pegasus,cnndm,3
18,27,prophetnet,cnndm,7
18,27,bart,cnndm,9
18,27,bertextabs,cnndm,8
18,28,pegasus,cnndm,5
18,28,prophetnet,cnndm,6
18,28,bart,cnndm,6
18,28,bertextabs,cnndm,7
18,29,pegasus,cnndm,4
18,29,prophetnet,cnndm,9
18,29,bart,cnndm,4
18,29,bertextabs,cnndm,7
18,30,pegasus,cnndm,1
18,30,prophetnet,cnndm,7
18,30,bart,cnndm,7
18,30,bertextabs,cnndm,6
19,31,pegasus,cnndm,10
19,31,prophetnet,cnndm,10
19,31,bart,cnndm,10
19,31,bertextabs,cnndm,9
19,32,pegasus,cnndm,3
19,32,prophetnet,cnndm,2
19,32,bart,cnndm,3
19,32,bertextabs,cnndm,4
19,33,pegasus,cnndm,7
19,33,prophetnet,cnndm,3
19,33,bart,cnndm,4
19,33,bertextabs,cnndm,7
19,34,pegasus,cnndm,7
19,34,prophetnet,cnndm,8
19,34,bart,cnndm,6
19,34,bertextabs,cnndm,7
19,35,pegasus,cnndm,9
19,35,prophetnet,cnndm,6
19,35,bart,cnndm,10
19,35,bertextabs,cnndm,8
20,31,pegasus,cnndm,7
20,31,prophetnet,cnndm,10
20,31,bart,cnndm,9
20,31,bertextabs,cnndm,9
20,32,pegasus,cnndm,10
20,32,prophetnet,cnndm,9
20,32,bart,cnndm,9
20,32,bertextabs,cnndm,7
20,33,pegasus,cnndm,9
20,33,prophetnet,cnndm,8
20,33,bart,cnndm,6
20,33,bertextabs,cnndm,7
20,34,pegasus,cnndm,4
20,34,prophetnet,cnndm,8
20,34,bart,cnndm,7
20,34,bertextabs,cnndm,7
20,35,pegasus,cnndm,6
20,35,prophetnet,cnndm,8
20,35,bart,cnndm,8
20,35,bertextabs,cnndm,8
21,31,pegasus,cnndm,7
21,31,prophetnet,cnndm,8
21,31,bart,cnndm,10
21,31,bertextabs,cnndm,10
21,32,pegasus,cnndm,10
21,32,prophetnet,cnndm,9
21,32,bart,cnndm,9
21,32,bertextabs,cnndm,8
21,33,pegasus,cnndm,8
21,33,prophetnet,cnndm,8
21,33,bart,cnndm,9
21,33,bertextabs,cnndm,7
21,34,pegasus,cnndm,7
21,34,prophetnet,cnndm,10
21,34,bart,cnndm,9
21,34,bertextabs,cnndm,9
21,35,pegasus,cnndm,8
21,35,prophetnet,cnndm,3
21,35,bart,cnndm,4
21,35,bertextabs,cnndm,8
22,36,pegasus,cnndm,7
22,36,prophetnet,cnndm,10
22,36,bart,cnndm,8
22,36,bertextabs,cnndm,10
22,37,pegasus,cnndm,8
22,37,prophetnet,cnndm,7
22,37,bart,cnndm,3
22,37,bertextabs,cnndm,9
22,38,pegasus,cnndm,4
22,38,prophetnet,cnndm,7
22,38,bart,cnndm,1
22,38,bertextabs,cnndm,10
22,39,pegasus,cnndm,3
22,39,prophetnet,cnndm,6
22,39,bart,cnndm,7
22,39,bertextabs,cnndm,9
22,40,pegasus,cnndm,7
22,40,prophetnet,cnndm,5
22,40,bart,cnndm,7
22,40,bertextabs,cnndm,6
23,36,pegasus,cnndm,10
23,36,prophetnet,cnndm,10
23,36,bart,cnndm,9
23,36,bertextabs,cnndm,9
23,37,pegasus,cnndm,10
23,37,prophetnet,cnndm,9
23,37,bart,cnndm,10
23,37,bertextabs,cnndm,10
23,38,pegasus,cnndm,10
23,38,prophetnet,cnndm,9
23,38,bart,cnndm,10
23,38,bertextabs,cnndm,9
23,39,pegasus,cnndm,9
23,39,prophetnet,cnndm,10
23,39,bart,cnndm,9
23,39,bertextabs,cnndm,10
23,40,pegasus,cnndm,10
23,40,prophetnet,cnndm,10
23,40,bart,cnndm,9
23,40,bertextabs,cnndm,9
24,36,pegasus,cnndm,10
24,36,prophetnet,cnndm,10
24,36,bart,cnndm,10
24,36,bertextabs,cnndm,6
24,37,pegasus,cnndm,10
