annotator,document,system,corpus,score
11,19,pegasus,xsum,3
11,19,prophetnet,xsum,5
11,19,bart,xsum,3
11,19,bertextabs,xsum,3
11,20,pegasus,xsum,5
11,20,prophetnet,xsum,7
11,20,bart,xsum,6
11,20,bertextabs,xsum,6
12,16,pegasus,xsum,7
12,16,prophetnet,xsum,8
12,16,bart,xsum,7
12,16,bertextabs,xsum,9
12,17,pegasus,xsum,7
12,17,prophetnet,xsum,10
12,17,bart,xsum,6
12,17,bertextabs,xsum,5
12,18,pegasus,xsum,8
12,18,prophetnet,xsum,7
12,18,bart,xsum,7
12,18,bertextabs,xsum,8
12,19,pegasus,xsum,7
12,19,prophetnet,xsum,3
12,19,bart,xsum,7
12,19,bertextabs,xsum,6
12,20,pegasus,xsum,7
12,20,prophetnet,xsum,5
12,20,bart,xsum,10
12,20,bertextabs,xsum,3
13,21,pegasus,xsum,10
13,21,prophetnet,xsum,9
13,21,bart,xsum,10
13,21,bertextabs,xsum,9
13,22,pegasus,xsum,1
13,22,prophetnet,xsum,7
13,22,bart,xsum,10
13,22,bertextabs,xsum,3
13,23,pegasus,xsum,2
13,23,prophetnet,xsum,1
13,23,bart,xsum,2
13,23,bertextabs,xsum,2
13,24,pegasus,xsum,10
13,24,prophetnet,xsum,9
13,24,bart,xsum,10
13,24,bertextabs,xsum,5
13,25,pegasus,xsum,3
13,25,prophetnet,xsum,10
13,25,bart,xsum,1
13,25,bertextabs,xsum,10
14,21,pegasus,xsum,9
14,21,prophetnet,xsum,1
14,21,bart,xsum,7
14,21,bertextabs,xsum,2
14,22,pegasus,xsum,1
14,22,prophetnet,xsum,2
14,22,bart,xsum,1
14,22,bertextabs,xsum,7
14,23,pegasus,xsum,7
14,23,prophetnet,xsum,8
14,23,bart,xsum,7
14,23,bertextabs,xsum,7
14,24,pegasus,xsum,9
14,24,prophetnet,xsum,9
14,24,bart,xsum,10
14,24,bertextabs,xsum,9
14,25,pegasus,xsum,4
14,25,prophetnet,xsum,3
14,25,bart,xsum,2
14,25,bertextabs,xsum,5
15,21,pegasus,xsum,6
15,21,prophetnet,xsum,4
15,21,bart,xsum,8
15,21,bertextabs,xsum,5
15,22,pegasus,xsum,6
15,22,prophetnet,xsum,3
15,22,bart,xsum,3
15,22,bertextabs,xsum,9
15,23,pegasus,xsum,5
15,23,prophetnet,xsum,8
15,23,bart,xsum,6
15,23,bertextabs,xsum,7
15,24,pegasus,xsum,6
15,24,prophetnet,xsum,7
15,24,bart,xsum,10
15,24,bertextabs,xsum,4
15,25,pegasus,xsum,6
15,25,prophetnet,xsum,4
15,25,bart,xsum,1
15,25,bertextabs,xsum,7
16,26,pegasus,xsum,1
16,26,prophetnet,xsum,7
16,26,bart,xsum,1
16,26,bertextabs,xsum,1
16,27,pegasus,xsum,9
16,27,prophetnet,xsum,9
16,27,bart,xsum,7
16,27,bertextabs,xsum,1
16,28,pegasus,xsum,6
16,28,prophetnet,xsum,6
16,28,bart,xsum,6
16,28,bertextabs,xsum,7
16,29,pegasus,xsum,10
16,29,prophetnet,xsum,10
16,29,bart,xsum,10
16,29,bertextabs,xsum,3
16,30,pegasus,xsum,8
16,30,prophetnet,xsum,9
16,30,bart,xsum,8
16,30,bertextabs,xsum,1
17,26,pegasus,xsum,6
17,26,prophetnet,xsum,1
17,26,bart,xsum,5
17,26,bertextabs,xsum,1
17,27,pegasus,xsum,9
17,27,prophetnet,xsum,10
17,27,bart,xsum,7
17,27,bertextabs,xsum,9
17,28,pegasus,xsum,2
17,28,prophetnet,xsum,3
17,28,bart,xsum,6
17,28,bertextabs,xsum,2
17,29,pegasus,xsum,8
17,29,prophetnet,xsum,7
17,29,bart,xsum,10
17,29,bertextabs,xsum,4
17,30,pegasus,xsum,10
17,30,prophetnet,xsum,4
17,30,bart,xsum,1
17,30,bertextabs,xsum,1
18,26,pegasus,xsum,1
18,26,prophetnet,xsum,8
18,26,bart,xsum,2
18,26,bertextabs,xsum,7
18,27,pegasus,xsum,9
18,27,prophetnet,xsum,10
18,27,bart,xsum,9
18,27,bertextabs,xsum,6
18,28,pegasus,xsum,1
18,28,prophetnet,xsum,1
18,28,bart,xsum,1
18,28,bertextabs,xsum,1
18,29,pegasus,xsum,10
18,29,prophetnet,xsum,10
18,29,bart,xsum,10
18,29,bertextabs,xsum,10
18,30,pegasus,xsum,10
18,30,prophetnet,xsum,10
18,30,bart,xsum,9
18,30,bertextabs,xsum,10
19,31,pegasus,xsum,8
19,31,prophetnet,xsum,8
19,31,bart,xsum,1
19,31,bertextabs,xsum,1
19,32,pegasus,xsum,1
19,32,prophetnet,xsum,1
19,32,bart,xsum,1
19,32,bertextabs,xsum,1
19,33,pegasus,xsum,10
19,33,prophetnet,xsum,10
19,33,bart,xsum,10
19,33,bertextabs,xsum,10
19,34,pegasus,xsum,2
19,34,prophetnet,xsum,10
19,34,bart,xsum,2
19,34,bertextabs,xsum,10
19,35,pegasus,xsum,1
19,35,prophetnet,xsum,1
19,35,bart,xsum,1
19,35,bertextabs,xsum,1
20,31,pegasus,xsum,7
20,31,prophetnet,xsum,9
20,31,bart,xsum,10
20,31,bertextabs,xsum,8
20,32,pegasus,xsum,7
20,32,prophetnet,xsum,6
20,32,bart,xsum,9
20,32,bertextabs,xsum,9
20,33,pegasus,xsum,9
20,33,prophetnet,xsum,8
20,33,bart,xsum,4
20,33,bertextabs,xsum,6
20,34,pegasus,xsum,10
20,34,prophetnet,xsum,9
20,34,bart,xsum,5
20,34,bertextabs,xsum,7
20,35,pegasus,xsum,4
20,35,prophetnet,xsum,9
20,35,bart,xsum,4
20,35,bertextabs,xsum,7
21,31,pegasus,xsum,9
21,31,prophetnet,xsum,8
21,31,bart,xsum,7
21,31,bertextabs,xsum,8
21,32,pegasus,xsum,3
21,32,prophetnet,xsum,2
21,32,bart,xsum,1
21,32,bertextabs,xsum,2
21,33,pegasus,xsum,6
21,33,prophetnet,xsum,8
21,33,bart,xsum,5
21,33,bertextabs,xsum,9
21,34,pegasus,xsum,1
21,34,prophetnet,xsum,7
21,34,bart,xsum,9
21,34,bertextabs,xsum,1
21,35,pegasus,xsum,9
21,35,prophetnet,xsum,5
21,35,bart,xsum,8
21,35,bertextabs,xsum,1
22,36,pegasus,xsum,8
22,36,prophetnet,xsum,9
22,36,bart,xsum,9
22,36,bertextabs,xsum,9
22,37,pegasus,xsum,3
22,37,prophetnet,xsum,3
22,37,bart,xsum,3
22,37,bertextabs,xsum,3
22,38,pegasus,xsum,9
22,38,prophetnet,xsum,3
22,38,bart,xsum,9
22,38,bertextabs,xsum,9
22,39,pegasus,xsum,9
22,39,prophetnet,xsum,9
22,39,bart,xsum,9
22,39,bertextabs,xsum,2
22,40,pegasus,xsum,9
22,40,prophetnet,xsum,9
22,40,bart,xsum,9
22,40,bertextabs,xsum,8
23,36,pegasus,xsum,8
23,36,prophetnet,xsum,8
23,36,bart,xsum,9
23,36,bertextabs,xsum,4
23,37,pegasus,xsum,7
23,37,prophetnet,xsum,8
23,37,bart,xsum,6
23,37,bertextabs,xsum,8
23,38,pegasus,xsum,7
23,38,prophetnet,xsum,5
23,38,bart,xsum,7
23,38,bertextabs,xsum,6
23,39,pegasus,xsum,6
23,39,prophetnet,xsum,10
23,39,bart,xsum,7
23,39,bertextabs,xsum,2
23,40,pegasus,xsum,9
23,40,prophetnet,xsum,8
23,40,bart,xsum,9
23,40,bertextabs,xsum,8
24,36,pegasus,xsum,5
24,36,prophetnet,xsum,8
24,36,bart,xsum,7
24,36,bertextabs,xsum,1
24,37,pegasus,xsum,3
24,37,prophetnet,xsum,1
24,37,bart,xsum,4
24,37,bertextabs,xsum,1
24,38,pegasus,xsum,3
24,38,prophetnet,xsum,1
24,38,bart,xsum,3
24,38,bertextabs,xsum,2
24,39,pegasus,xsum,4
24,39,prophetnet,xsum,8
24,39,bart,xsum,2
24,39,bertextabs,xsum,1
24,40,pegasus,xsum,8
24,40,prophetnet,xsum,9
24,40,bart,xsum,7
24,40,bertextabs,xsum,9
25,41,pegasus,xsum,5
25,41,prophetnet,xsum,10
25,41,bart,xsum,10
25,41,bertextabs,xsum,5
25,42,pegasus,xsum,3
25,42,prophetnet,xsum,2
25,42,bart,xsum,2
25,42,bertextabs,xsum,6
25,43,pegasus,xsum,6
25,43,prophetnet,xsum,6
25,43,bart,xsum,4
25,43,bertextabs,xsum,5
25,44,pegasus,xsum,10
25,44,prophetnet,xsum,4
25,44,bart,xsum,10
25,44,bertextabs,xsum,1
25,45,pegasus,xsum,10
25,45,prophetnet,xsum,10
25,45,bart,xsum,8
25,45,bertextabs,xsum,9
26,41,pegasus,xsum,3
26,41,prophetnet,xsum,7
26,41,bart,xsum,7
26,41,bertextabs,xsum,2
26,42,pegasus,xsum,6
26,42,prophetnet,xsum,10
26,42,bart,xsum,5
26,42,bertextabs,xsum,7
26,43,pegasus,xsum,3
26,43,prophetnet,xsum,3
26,43,bart,xsum,8
26,43,bertextabs,xsum,5
26,44,pegasus,xsum,7
26,44,prophetnet,xsum,5
26,44,bart,xsum,7
26,44,bertextabs,xsum,4
26,45,pegasus,xsum,8
26,45,prophetnet,xsum,7
26,45,bart,xsum,7
26,45,bertextabs,xsum,7
27,41,pegasus,xsum,5
27,41,prophetnet,xsum,6
27,41,bart,xsum,3
27,41,bertextabs,xsum,2
27,42,pegasus,xsum,8
27,42,prophetnet,xsum,5
27,42,bart,xsum,4
27,42,bertextabs,xsum,5
27,43,pegasus,xsum,4
27,43,prophetnet,xsum,9
27,43,bart,xsum,8
27,43,bertextabs,xsum,9
27,44,pegasus,xsum,8
27,44,prophetnet,xsum,8
27,44,bart,xsum,8
27,44,bertextabs,xsum,8
27,45,pegasus,xsum,8
27,45,prophetnet,xsum,9
27,45,bart,xsum,7
27,45,bertextabs,xsum,9
28,46,pegasus,xsum,8
28,46,prophetnet,xsum,5
28,46,bart,xsum,7
28,46,bertextabs,xsum,3
28,47,pegasus,xsum,9
28,47,prophetnet,xsum,1
28,47,bart,xsum,9
28,47,bertextabs,xsum,7
28,48,pegasus,xsum,1
28,48,prophetnet,xsum,8
28,48,bart,xsum,9
28,48,bertextabs,xsum,1
28,49,pegasus,xsum,7
28,49,prophetnet,xsum,5
28,49,bart,xsum,10
28,49,bertextabs,xsum,4
28,50,pegasus,xsum,8
28,50,prophetnet,xsum,4
28,50,bart,xsum,9
28,50,bertextabs,xsum,10
29,46,pegasus,xsum,8
29,46,prophetnet,xsum,9
29,46,bart,xsum,10
29,46,bertextabs,xsum,8
29,47,pegasus,xsum,9
29,47,prophetnet,xsum,2
29,47,bart,xsum,4
29,47,bertextabs,xsum,2
29,48,pegasus,xsum,1
29,48,prophetnet,xsum,9
29,48,bart,xsum,6
29,48,bertextabs,xsum,3
29,49,pegasus,xsum,6
29,49,prophetnet,xsum,7
29,49,bart,xsum,9
29,49,bertextabs,xsum,6
29,50,pegasus,xsum,6
29,50,prophetnet,xsum,7
29,50,bart,xsum,8
29,50,bertextabs,xsum,6
30,46,pegasus,xsum,9
30,46,prophetnet,xsum,7
30,46,bart,xsum,7
30,46,bertextabs,xsum,8
30,47,pegasus,xsum,6
30,47,prophetnet,xsum,2
30,47,bart,xsum,7
30,47,bertextabs,xsum,2
30,48,pegasus,xsum,1
30,48,prophetnet,xsum,3
30,48,bart,xsum,8
30,48,bertextabs,xsum,2
30,49,pegasus,xsum,9
30,49,prophetnet,xsum,7
30,49,bart,xsum,8
30,49,bertextabs,xsum,1
30,50,pegasus,xsum,8
30,50,prophetnet,xsum,9
30,50,bart,xsum,10
30,50,bertextabs,xsum,3
31,51,pegasus,xsum,8
31,51,prophetnet,xsum,2
31,51,bart,xsum,3
31,51,bertextabs,xsum,2
31,52,pegasus,xsum,6
31,52,prophetnet,xsum,2
31,52,bart,xsum,10
31,52,bertextabs,xsum,5
31,53,pegasus,xsum,5
31,53,prophetnet,xsum,3
31,53,bart,xsum,10
31,53,bertextabs,xsum,2
31,54,pegasus,xsum,7
31,54,prophetnet,xsum,7
31,54,bart,xsum,8
31,54,bertextabs,xsum,3
31,55,pegasus,xsum,6
31,55,prophetnet,xsum,8
31,55,bart,xsum,7
31,55,bertextabs,xsum,4
32,51,pegasus,xsum,6
32,51,prophetnet,xsum,6
32,51,bart,xsum,6
32,51,bertextabs,xsum,5
32,52,pegasus,xsum,5
32,52,prophetnet,xsum,5
32,52,bart,xsum,5
32,52,bertextabs,xsum,5
32,53,pegasus,xsum,4
32,53,prophetnet,xsum,6
32,53,bart,xsum,5
32,53,bertextabs,xsum,5
32,54,pegasus,xsum,4
32,54,prophetnet,xsum,5
32,54,bart,xsum,5
32,54,bertextabs,xsum,4
32,55,pegasus,xsum,4
32,55,prophetnet,xsum,6
32,55,bart,xsum,5
32,55,bertextabs,xsum,5
33,51,pegasus,xsum,5
33,51,prophetnet,xsum,5
33,51,bart,xsum,4
33,51,bertextabs,xsum,10
33,52,pegasus,xsum,7
33,52,prophetnet,xsum,1
33,52,bart,xsum,6
33,52,bertextabs,xsum,8
33,53,pegasus,xsum,4
33,53,prophetnet,xsum,6
33,53,bart,xsum,7
33,53,bertextabs,xsum,1
33,54,pegasus,xsum,7
33,54,prophetnet,xsum,9
33,54,bart,xsum,8
33,54,bertextabs,xsum,2
33,55,pegasus,xsum,2
33,55,prophetnet,xsum,9
33,55,bart,xsum,7
33,55,bertextabs,xsum,1
34,56,pegasus,xsum,10
34,56,prophetnet,xsum,4
34,56,bart,xsum,10
34,56,bertextabs,xsum,2
34,57,pegasus,xsum,7
34,57,prophetnet,xsum,6
34,57,bart,xsum,10
34,57,bertextabs,xsum,3
34,58,pegasus,xsum,7
34,58,prophetnet,xsum,10
34,58,bart,xsum,10
34,58,bertextabs,xsum,5
34,59,pegasus,xsum,10
34,59,prophetnet,xsum,10
34,59,bart,xsum,10
34,59,bertextabs,xsum,10
34,60,pegasus,xsum,4
34,60,prophetnet,xsum,8
34,60,bart,xsum,10
34,60,bertextabs,xsum,5
35,56,pegasus,xsum,1
35,56,prophetnet,xsum,8
35,56,bart,xsum,10
35,56,bertextabs,xsum,1
35,57,pegasus,xsum,10
35,57,prophetnet,xsum,10
35,57,bart,xsum,10
35,57,bertextabs,xsum,3
35,58,pegasus,xsum,10
35,58,prophetnet,xsum,10
35,58,bart,xsum,10
35,58,bertextabs,xsum,10
35,59,pegasus,xsum,10
35,59,prophetnet,xsum,10
35,59,bart,xsum,10
35,59,bertextabs,xsum,10
35,60,pegasus,xsum,5
35,60,prophetnet,xsum,8
35,60,bart,xsum,10
35,60,bertextabs,xsum,10
36,56,pegasus,xsum,3
36,56,prophetnet,xsum,10
36,56,bart,xsum,10
36,56,bertextabs,xsum,1
36,57,pegasus,xsum,10
36,57,prophetnet,xsum,10
36,57,bart,xsum,9
36,57,bertextabs,xsum,3
36,58,pegasus,xsum,10
36,58,prophetnet,xsum,9
36,58,bart,xsum,9
36,58,bertextabs,xsum,9
36,59,pegasus,xsum,8
36,59,prophetnet,xsum,8
36,59,bart,xsum,8
36,59,bertextabs,xsum,8
36,60,pegasus,xsum,2
36,60,prophetnet,xsum,8
36,60,bart,xsum,8
36,60,bertextabs,xsum,6
37,61,pegasus,xsum,8
37,61,prophetnet,xsum,10
37,61,bart,xsum,9
37,61,bertextabs,xsum,9
37,62,pegasus,xsum,10
37,62,prophetnet,xsum,8
37,62,bart,xsum,8
37,62,bertextabs,xsum,9
37,63,pegasus,xsum,9
37,63,prophetnet,xsum,10
37,63,bart,xsum,10
37,63,bertextabs,xsum,8
37,64,pegasus,xsum,8
37,64,prophetnet,xsum,10
37,64,bart,xsum,8
37,64,bertextabs,xsum,9
37,65,pegasus,xsum,7
37,65,prophetnet,xsum,10
37,65,bart,xsum,8
37,65,bertextabs,xsum,9
38,61,pegasus,xsum,10
38,61,prophetnet,xsum,10
38,61,bart,xsum,10
38,61,bertextabs,xsum,10
38,62,pegasus,xsum,10
38,62,prophetnet,xsum,9
38,62,bart,xsum,10
38,62,bertextabs,xsum,10
38,63,pegasus,xsum,10
38,63,prophetnet,xsum,10
38,63,bart,xsum,10
38,63,bertextabs,xsum,10
38,64,pegasus,xsum,10
38,64,prophetnet,xsum,10
38,64,bart,xsum,10
38,64,bertextabs,xsum,10
38,65,pegasus,xsum,9
38,65,prophetnet,xsum,10
38,65,bart,xsum,10
38,65,bertextabs,xsum,10
39,61,pegasus,xsum,6
39,61,prophetnet,xsum,5
39,61,bart,xsum,9
39,61,bertextabs,xsum,9
39,62,pegasus,xsum,4
39,62,prophetnet,xsum,5
39,62,bart,xsum,9
39,62,bertextabs,xsum,7
39,63,pegasus,xsum,6
39,63,prophetnet,xsum,6
39,63,bart,xsum,8
39,63,bertextabs,xsum,3
39,64,pegasus,xsum,3
39,64,prophetnet,xsum,7
39,64,bart,xsum,4
39,64,bertextabs,xsum,6
39,65,pegasus,xsum,3
39,65,prophetnet,xsum,8
39,65,bart,xsum,3
39,65,bertextabs,xsum,4
40,66,pegasus,xsum,8
40,66,prophetnet,xsum,8
40,66,bart,xsum,7
40,66,bertextabs,xsum,3
40,67,pegasus,xsum,5
40,67,prophetnet,xsum,7
40,67,bart,xsum,2
40,67,bertextabs,xsum,9
40,68,pegasus,xsum,5
40,68,prophetnet,xsum,8
40,68,bart,xsum,3
40,68,bertextabs,xsum,2
40,69,pegasus,xsum,8
40,69,prophetnet,xsum,8
40,69,bart,xsum,8
40,69,bertextabs,xsum,3
40,70,pegasus,xsum,2
40,70,prophetnet,xsum,5
40,70,bart,xsum,7
40,70,bertextabs,xsum,4
41,66,pegasus,xsum,1
41,66,prophetnet,xsum,6
41,66,bart,xsum,2
41,66,bertextabs,xsum,3
41,67,pegasus,xsum,10
41,67,prophetnet,xsum,10
41,67,bart,xsum,10
41,67,bertextabs,xsum,10
41,68,pegasus,xsum,5
41,68,prophetnet,xsum,10
41,68,bart,xsum,10
41,68,bertextabs,xsum,1
41,69,pegasus,xsum,10
41,69,prophetnet,xsum,10
41,69,bart,xsum,8
41,69,bertextabs,xsum,1
41,70,pegasus,xsum,5
41,70,prophetnet,xsum,1
41,70,bart,xsum,5
41,70,bertextabs,xsum,1
42,66,pegasus,xsum,7
42,66,prophetnet,xsum,5
42,66,bart,xsum,9
42,66,bertextabs,xsum,10
42,67,pegasus,xsum,5
42,67,prophetnet,xsum,6
42,67,bart,xsum,8
42,67,bertextabs,xsum,10
42,68,pegasus,xsum,7
42,68,prophetnet,xsum,10
42,68,bart,xsum,7
42,68,bertextabs,xsum,9
42,69,pegasus,xsum,10
42,69,prophetnet,xsum,8
42,69,bart,xsum,10
42,69,bertextabs,xsum,7
42,70,pegasus,xsum,6
42,70,prophetnet,xsum,5
42,70,bart,xsum,8
42,70,bertextabs,xsum,8
43,71,pegasus,xsum,3
43,71,prophetnet,xsum,2
43,71,bart,xsum,8
43,71,bertextabs,xsum,9
43,72,pegasus,xsum,9
43,72,prophetnet,xsum,9
43,72,bart,xsum,9
43,72,bertextabs,xsum,9
43,73,pegasus,xsum,8
43,73,prophetnet,xsum,10
43,73,bart,xsum,10
43,73,bertextabs,xsum,1
43,74,pegasus,xsum,7
43,74,prophetnet,xsum,10
43,74,bart,xsum,9
43,74,bertextabs,xsum,8
43,75,pegasus,xsum,9
43,75,prophetnet,xsum,8
43,75,bart,xsum,6
43,75,bertextabs,xsum,2
44,71,pegasus,xsum,1
44,71,prophetnet,xsum,7
44,71,bart,xsum,8
44,71,bertextabs,xsum,7
44,72,pegasus,xsum,1
44,72,prophetnet,xsum,2
44,72,bart,xsum,2
44,72,bertextabs,xsum,1
44,73,pegasus,xsum,10
44,73,prophetnet,xsum,10
44,73,bart,xsum,7
44,73,bertextabs,xsum,5
44,74,pegasus,xsum,5
44,74,prophetnet,xsum,3
44,74,bart,xsum,3
44,74,bertextabs,xsum,1
44,75,pegasus,xsum,2
44,75,prophetnet,xsum,2
44,75,bart,xsum,2
44,75,bertextabs,xsum,3
45,71,pegasus,xsum,5
45,71,prophetnet,xsum,7
45,71,bart,xsum,4
45,71,bertextabs,xsum,5
45,72,pegasus,xsum,7
45,72,prophetnet,xsum,9
45,72,bart,xsum,8
45,72,bertextabs,xsum,9
45,73,pegasus,xsum,10
45,73,prophetnet,xsum,10
45,73,bart,xsum,9
45,73,bertextabs,xsum,9
45,74,pegasus,xsum,10
45,74,prophetnet,xsum,7
45,74,bart,xsum,6
45,74,bertextabs,xsum,8
45,75,pegasus,xsum,7
45,75,prophetnet,xsum,8
45,75,bart,xsum,7
45,75,bertextabs,xsum,7
46,76,pegasus,xsum,8
46,76,prophetnet,xsum,8
46,76,bart,xsum,9
46,76,bertextabs,xsum,6
46,77,pegasus,xsum,9
46,77,prophetnet,xsum,9
46,77,bart,xsum,8
46,77,bertextabs,xsum,8
46,78,pegasus,xsum,8
46,78,prophetnet,xsum,10
46,78,bart,xsum,9
46,78,bertextabs,xsum,9
46,79,pegasus,xsum,4
46,79,prophetnet,xsum,5
46,79,bart,xsum,7
46,79,bertextabs,xsum,7
46,80,pegasus,xsum,6
46,80,prophetnet,xsum,9
46,80,bart,xsum,9
46,80,bertextabs,xsum,8
47,76,pegasus,xsum,9
47,76,prophetnet,xsum,5
47,76,bart,xsum,6
47,76,bertextabs,xsum,7
47,77,pegasus,xsum,10
47,77,prophetnet,xsum,10
47,77,bart,xsum,10
47,77,bertextabs,xsum,9
47,78,pegasus,xsum,4
47,78,prophetnet,xsum,3
47,78,bart,xsum,10
