"Timestamp","Turker ID","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?","Overall, how factually consistent do you find the summary with respect to the article?"
"2021/04/23 11:03:57 PM GMT+8","A3K9GTQBOI7O5A","2","2","2","2","2","2","3","3","1","2","2","1","2","3","3","3","3","3","2","2"
"2021/04/23 11:05:52 PM GMT+8","AS4FVWL91C6HR","4","3","4","3","2","4","3","2","2","3","4","2","3","2","2","3","3","4","4","3"
"2021/04/23 11:34:26 PM GMT+8","A1FR4S8V4MNRVM","5","3","4","5","5","4","3","4","3","4","5","4","2","4","3","2","1","1","4","5"
