"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 3:43:17 AM GMT+8","A3RKG5PZN97RD5","5","Summary 4","Summary 3","Summary 4","Summary 1","Summary 1","Summary 4","Summary 3","Summary 1","Summary 1","Summary 2","no"
"2021/04/28 4:11:47 AM GMT+8","A3I8W5848LIHPC","5","Summary 3","Summary 4","Summary 2","Summary 3","Summary 2","Summary 3","Summary 1","Summary 2","Summary 3","Summary 4","this is amazing opportunity . and These are send to all .thank you ."
"2021/04/28 7:17:57 AM GMT+8","A29VL3MZE7YPBZ","5","Summary 4","Summary 1","Summary 4","Summary 1","Summary 3","Summary 1","Summary 1","Summary 2","Summary 4","Summary 1","Thanks!"
