"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 4:06:49 AM GMT+8","A2CWJRAEFZ44HU","5","Summary 4","Summary 3","Summary 4","Summary 2","Summary 4","Summary 1","Summary 3","Summary 1","Summary 2","Summary 4","reading british football news is like reading a foreign language"
"2021/04/28 6:18:55 AM GMT+8","A1ODA3Q5H6HTDQ","5","Summary 3","Summary 4","Summary 4","Summary 1","Summary 4","Summary 2","Summary 2","Summary 4","Summary 3","Summary 4","none"
"2021/04/28 7:42:05 AM GMT+8","A350SLJRMBIFM4","5","Summary 3","Summary 2","Summary 3","Summary 1","Summary 4","Summary 1","Summary 4","Summary 3","Summary 2","Summary 4","Article 5 was difficult for me because I didn't recognize the sport or the associated slang. "
