"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 3:39:35 AM GMT+8","A2MOKIEQZ0OF2M","4","Summary 1","Summary 2","Summary 2","Summary 4","Summary 2","Summary 4","Summary 2","Summary 1","Summary 1","Summary 2","enjoyed it"
"2021/04/28 4:07:11 AM GMT+8","A9K0CV70JWG1W","5","Summary 4","Summary 1","Summary 4","Summary 1","Summary 4","Summary 2","Summary 1","Summary 4","Summary 4","Summary 2","none"
"2021/04/28 10:57:27 AM GMT+8","A3D2U4QF7821ZW","5","Summary 1","Summary 4","Summary 1","Summary 2","Summary 4","Summary 2","Summary 4","Summary 2","Summary 4","Summary 3",""
