"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 4:20:07 AM GMT+8","A1PTH9KTRO06EG","5","Summary 3","Summary 4","Summary 2","Summary 1","Summary 1","Summary 3","Summary 4","Summary 1","Summary 2","Summary 4","really interesting and fun!"
"2021/04/28 4:23:37 AM GMT+8","A3KFFIBJZVM0J2","5","Summary 2","Summary 4","Summary 2","Summary 1","Summary 1","Summary 3","Summary 4","Summary 1","Summary 2","Summary 3","None"
"2021/04/28 7:29:20 AM GMT+8","A3FPBLKQZ3U2WP","5","Summary 2","Summary 1","Summary 3","Summary 2","Summary 4","Summary 2","Summary 1","Summary 3","Summary 2","Summary 3","Nice task and thanks for the opportunity"
