"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 3:45:33 AM GMT+8","A35CRYBHUZZZHO","4","Summary 4","Summary 2","Summary 3","Summary 1","Summary 2","Summary 4","Summary 4","Summary 2","Summary 3","Summary 1","None"
"2021/04/28 5:09:09 AM GMT+8","A3FT3XPTOWHJMY","5","Summary 4","Summary 2","Summary 3","Summary 1","Summary 2","Summary 3","Summary 3","Summary 1","Summary 3","Summary 4","nope"
"2021/04/28 7:13:22 AM GMT+8","A1036BH0RBAF1O","5","Summary 4","Summary 3","Summary 3","Summary 1","Summary 1","Summary 3","Summary 3","Summary 2","Summary 1","Summary 3","None"
