"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/26 9:39:29 AM GMT+8","AFRJKS3Z3H4CA","5","Summary 3","Summary 1","Summary 4","Summary 2","Summary 1","Summary 3","Summary 4","Summary 1","Summary 1","Summary 3","No problems determining best and worst summaries"
"2021/04/26 9:41:09 AM GMT+8","A2KBATQUTW8J5G","5","Summary 4","Summary 1","Summary 3","Summary 1","Summary 1","Summary 3","Summary 4","Summary 1","Summary 1","Summary 2","Thank you! I experienced no technical errors and it went smoothly. "
"2021/04/26 10:24:10 PM GMT+8","AYUP53XD4O2LZ","5","Summary 4","Summary 1","Summary 3","Summary 2","Summary 3","Summary 4","Summary 4","Summary 3","Summary 1","Summary 3","n/a"
