"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/27 10:52:35 AM GMT+8","A3UUH3632AI3ZX","5","Summary 3","Summary 1","Summary 1","Summary 2","Summary 1","Summary 3","Summary 1","Summary 2","Summary 1","Summary 3",""
"2021/04/27 10:57:14 AM GMT+8","A1QEQOI98976S0","5","Summary 3","Summary 1","Summary 3","Summary 4","Summary 3","Summary 4","Summary 3","Summary 4","Summary 2","Summary 3",""
"2021/04/27 12:24:55 PM GMT+8","AVD6HMIO1HLFI","4","Summary 2","Summary 1","Summary 1","Summary 3","Summary 1","Summary 3","Summary 3","Summary 4","Summary 4","Summary 3",""
