"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 3:44:23 AM GMT+8","A1NZFJHVJ9CNTO","2","Summary 2","Summary 4","Summary 3","Summary 4","Summary 3","Summary 4","Summary 3","Summary 2","Summary 3","Summary 4","NONE"
"2021/04/28 4:03:33 AM GMT+8","AJRY9ALX8069Y","5","Summary 1","Summary 2","Summary 2","Summary 3","Summary 1","Summary 4","Summary 2","Summary 1","Summary 2","Summary 4","None"
"2021/04/28 7:01:51 AM GMT+8","A3RVHUY67SVXQV","5","Summary 1","Summary 2","Summary 2","Summary 4","Summary 1","Summary 2","Summary 4","Summary 3","Summary 1","Summary 4","This was a little hard to read with it just being text walls. Next time maybe try spacing some paragraphs."
