"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/26 6:05:47 PM GMT+8","AUBIH6UELJYF1","5","Summary 3","Summary 4","Summary 3","Summary 1","Summary 1","Summary 3","Summary 1","Summary 3","Summary 2","Summary 1","how to kill a mockingbird 4/5, summary 1 and 4 are the same summary's"
"2021/04/26 8:21:08 PM GMT+8","A2GA70CO80A1CF","5","Summary 3","Summary 4","Summary 2","Summary 4","Summary 1","Summary 4","Summary 1","Summary 3","Summary 2","Summary 4","This HIT was interesting"
"2021/04/26 8:34:15 PM GMT+8","A1TIZIFU19WTDU","5","Summary 3","Summary 1","Summary 2","Summary 4","Summary 1","Summary 4","Summary 1","Summary 3","Summary 2","Summary 3","Thank you - this was interesting and challenging! Good luck with your research!"
"2021/04/27 12:04:38 AM GMT+8","A3O26FE6GMR3XS","5","Summary 3","Summary 4","Summary 2","Summary 3","Summary 1","Summary 2","Summary 1","Summary 3","Summary 2","Summary 3","Thank you for the opportunity. In section 4 there was a duplicate answer. Options 1 and 4 were the same. I am not sure if that was intentional or not. "
