"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/26 6:27:11 PM GMT+8","A33TRR46U5NI40","4","Summary 3","Summary 4","Summary 3","Summary 4","Summary 4","Summary 2","Summary 1","Summary 3","Summary 3","Summary 1","alot of reading"
"2021/04/26 6:34:55 PM GMT+8","A35UPRWU1QWP2F","5","Summary 1","Summary 4","Summary 3","Summary 2","Summary 4","Summary 3","Summary 4","Summary 1","Summary 2","Summary 4","No comments"
"2021/04/26 11:32:44 PM GMT+8","AZBUDUYIII5I0","4","Summary 1","Summary 4","Summary 2","Summary 1","Summary 2","Summary 1","Summary 4","Summary 3","Summary 2","Summary 1","no"
