"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/27 9:47:36 AM GMT+8","A2VO8C41JJIQY9","5","Summary 2","Summary 4","Summary 2","Summary 1","Summary 1","Summary 4","Summary 3","Summary 1","Summary 1","Summary 3","None"
"2021/04/27 10:47:19 AM GMT+8","A2P065E9CYMYJL","4","Summary 1","Summary 4","Summary 4","Summary 3","Summary 2","Summary 4","Summary 3","Summary 1","Summary 1","Summary 3","This type of task is really enjoyable. I wish there was more work for me to do. "
"2021/04/27 11:26:01 AM GMT+8","A2XQ3CFB5HT2ZQ","5","Summary 2","Summary 4","Summary 3","Summary 4","Summary 2","Summary 4","Summary 3","Summary 1","Summary 3","Summary 2","no"
