"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 3:45:28 AM GMT+8","A6KB4VHCZYTY2","5","Summary 2","Summary 1","Summary 4","Summary 1","Summary 2","Summary 1","Summary 2","Summary 3","Summary 3","Summary 4","Interesting hit if you enjoy reading."
"2021/04/28 3:49:02 AM GMT+8","A2Z6NL0CTXY0ZB","5","Summary 2","Summary 4","Summary 4","Summary 1","Summary 2","Summary 1","Summary 2","Summary 4","Summary 3","Summary 4","None."
"2021/04/28 5:32:08 AM GMT+8","A2FOUSWQDYHIE0","5","Summary 2","Summary 4","Summary 2","Summary 1","Summary 4","Summary 2","Summary 4","Summary 1","Summary 3","Summary 4","Thank you!"
