"Timestamp","Turker ID","How well do you understand the instructions?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Which is the most factually consistent summary?","Which is the least factually consistent summary?","Any comments?"
"2021/04/28 5:22:21 AM GMT+8","A2YOVBJ9EXAI8W","5","Summary 4","Summary 2","Summary 1","Summary 4","Summary 1","Summary 2","Summary 2","Summary 3","Summary 1","Summary 4","Nope!"
"2021/04/28 5:31:14 AM GMT+8","A2WVCXVSE0YGML","5","Summary 2","Summary 4","Summary 2","Summary 1","Summary 3","Summary 4","Summary 1","Summary 3","Summary 2","Summary 4","That was an interesting and brain focusing task, good luck with your research!"
"2021/04/28 6:48:18 AM GMT+8","A3FQDPUAXJB0BS","5","Summary 2","Summary 4","Summary 2","Summary 1","Summary 3","Summary 1","Summary 3","Summary 1","Summary 3","Summary 4","NA"
